INFO 2025-11-13 12:13:33,732 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1175
INFO 2025-11-13 12:13:35,865 basehttp "PATCH /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/approvals HTTP/1.1" 200 1197
INFO 2025-11-13 12:13:35,867 basehttp "OPTIONS /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/change-stage HTTP/1.1" 200 0
INFO 2025-11-13 12:13:35,905 basehttp "POST /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/change-stage HTTP/1.1" 200 1205
INFO 2025-11-13 12:13:35,937 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1205
INFO 2025-11-13 12:13:43,146 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1205
INFO 2025-11-13 12:13:43,149 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents HTTP/1.1" 200 2
INFO 2025-11-13 12:14:06,807 basehttp "OPTIONS /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents/upload HTTP/1.1" 200 0
INFO 2025-11-13 12:14:06,961 basehttp "POST /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents/upload HTTP/1.1" 201 544
INFO 2025-11-13 12:14:07,006 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents HTTP/1.1" 200 546
INFO 2025-11-13 12:14:07,365 basehttp "GET /media/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/0ca14ce8-1d87-4d68-a810-b13172207a77.png HTTP/1.1" 200 237220
INFO 2025-11-13 12:23:53,211 autoreload F:\provabook django\provabook-3\backend_django\apps\orders\views.py changed, reloading.
INFO 2025-11-13 12:23:53,754 autoreload Watching for file changes with StatReloader
INFO 2025-11-13 12:42:37,444 autoreload Watching for file changes with StatReloader
INFO 2025-11-13 12:43:18,048 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1723
INFO 2025-11-13 12:43:18,091 basehttp "GET /api/v1/dashboard HTTP/1.1" 200 1723
INFO 2025-11-13 12:43:22,362 basehttp "GET /api/v1/orders HTTP/1.1" 200 2454
INFO 2025-11-13 12:43:22,403 basehttp "GET /api/v1/orders HTTP/1.1" 200 2454
INFO 2025-11-13 12:43:26,825 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1205
INFO 2025-11-13 12:43:26,871 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5 HTTP/1.1" 200 1205
INFO 2025-11-13 12:43:26,871 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents HTTP/1.1" 200 546
INFO 2025-11-13 12:43:26,915 basehttp "GET /api/v1/orders/b6652d4b-2d9d-49ec-acce-430d91127bc5/documents HTTP/1.1" 200 546
INFO 2025-11-13 12:43:32,488 basehttp "GET /api/v1/orders HTTP/1.1" 200 2454
INFO 2025-11-13 12:43:32,533 basehttp "GET /api/v1/orders HTTP/1.1" 200 2454
INFO 2025-11-13 12:43:34,494 basehttp "OPTIONS /api/v1/orders/9f1625b1-c784-441d-8a8e-5afe258cdfa0/documents HTTP/1.1" 200 0
INFO 2025-11-13 12:43:34,494 basehttp "OPTIONS /api/v1/orders/9f1625b1-c784-441d-8a8e-5afe258cdfa0 HTTP/1.1" 200 0
INFO 2025-11-13 12:43:34,496 basehttp "OPTIONS /api/v1/orders/9f1625b1-c784-441d-8a8e-5afe258cdfa0 HTTP/1.1" 200 0
